universe,symbol,timeframe,ma_window,split,n_trades,win_rate,profit_factor,total_return_pct,t_stat
indices_tv,JPN225,30m,50,TEST,4,50.0,1.9169612743165096,0.9489211568104006,0.5387164282123122
indices_tv,AUS200,15m,20,TRAIN,55,40.0,0.7443302900853465,-1.3440354091160067,-1.0025823213948089
indices_tv,AUS200,15m,20,TEST,21,38.095238095238095,0.6344624896128521,-0.7679936954445243,-0.964671501645477
indices_tv,AUS200,15m,50,TRAIN,31,35.483870967741936,0.9779758174976589,-0.07923109553785723,-0.05707163728875477
indices_tv,AUS200,15m,50,TEST,13,30.76923076923077,0.491399920297586,-0.9345191946013021,-1.163906177005933
indices_tv,AUS200,30m,20,TRAIN,31,38.70967741935484,0.507924728099579,-2.09311993218404,-1.8112920784953943
indices_tv,AUS200,30m,20,TEST,10,30.0,0.45079434152013315,-0.9555374311070675,-1.1811546254219862
indices_tv,AUS200,30m,50,TRAIN,18,38.88888888888889,1.0743477315826975,0.18734897996757205,0.13936260142007695
indices_tv,AUS200,30m,50,TEST,7,28.57142857142857,0.5604198653082817,-0.6297992330238644,-0.7080242559211836
indices_tv,FRA40,15m,20,TRAIN,63,38.095238095238095,0.67812270690396,-2.254795312131397,-1.324228553790327
indices_tv,FRA40,15m,20,TEST,21,14.285714285714285,0.15185666645108267,-2.272096749472907,-4.136125208390859
indices_tv,FRA40,15m,50,TRAIN,31,35.483870967741936,0.650216549075047,-1.6394399344879296,-1.1155049566459856
indices_tv,FRA40,15m,50,TEST,16,37.5,0.6972989568775945,-0.5970900750732699,-0.6861662233325908
indices_tv,FRA40,30m,20,TRAIN,27,48.148148148148145,0.8549139954699734,-0.6060688110379742,-0.38280246133343765
indices_tv,FRA40,30m,20,TEST,11,45.45454545454545,0.624037130323492,-0.5954263833865769,-0.7275922322791292
indices_tv,FRA40,30m,50,TRAIN,18,16.666666666666664,0.4163793378595726,-2.4986213068611596,-1.6213507780872722
